Year,Candidate_ID,Name,State,Category,Total_Score,Percentile,AIR (All India Rank),State_Rank,Category_Rank,Qualified_Status,Cutoff_Score
2024,NEET453856,Candidate_6782,Tamil Nadu,ST,123,17.08,85975,4522,9452,No,135
2019,NEET546610,Candidate_9175,Uttar Pradesh,EWS,147,20.42,137371,673,6947,Yes,140
2023,NEET746871,Candidate_6691,Delhi,SC,519,72.08,67772,4380,5623,Yes,115
2023,NEET612661,Candidate_7654,Tamil Nadu,OBC,318,44.17,56915,4385,2577,Yes,145
2020,NEET945463,Candidate_1237,Tamil Nadu,General,596,82.78,190895,4974,9774,Yes,139
2024,NEET744298,Candidate_4868,Maharashtra,EWS,408,56.67,83719,951,6364,Yes,143
2018,NEET506224,Candidate_7002,West Bengal,ST,140,19.44,34013,987,3325,Yes,123
2022,NEET813935,Candidate_3363,Uttar Pradesh,ST,376,52.22,163494,296,8822,Yes,108
2018,NEET480451,Candidate_2975,West Bengal,EWS,474,65.83,28269,589,9823,Yes,150
2024,NEET588713,Candidate_5371,Tamil Nadu,ST,483,67.08,90752,3387,2000,Yes,115
2023,NEET527974,Candidate_7810,Maharashtra,General,499,69.31,142861,2886,7665,Yes,145
2016,NEET992860,Candidate_2375,Maharashtra,OBC,280,38.89,142970,1792,4735,Yes,146
2016,NEET198650,Candidate_8896,West Bengal,OBC,543,75.42,124170,2592,210,Yes,145
2021,NEET687721,Candidate_3709,Maharashtra,EWS,399,55.42,136041,3535,5905,Yes,138
2015,NEET456078,Candidate_3425,Uttar Pradesh,OBC,163,22.64,156522,499,5478,Yes,145
2018,NEET811625,Candidate_4179,Uttar Pradesh,ST,636,88.33,51160,3110,644,Yes,109
2023,NEET140554,Candidate_2417,Karnataka,OBC,557,77.36,136398,3441,6864,Yes,145
2023,NEET219593,Candidate_3747,Uttar Pradesh,OBC,408,56.67,9626,2846,6649,Yes,146
2018,NEET169971,Candidate_3380,West Bengal,EWS,655,90.97,125984,3102,217,Yes,145
2017,NEET402314,Candidate_5004,Karnataka,EWS,208,28.89,178949,158,9727,Yes,146
2019,NEET951378,Candidate_8129,Karnataka,OBC,555,77.08,131650,2306,6987,Yes,148
2023,NEET987927,Candidate_5482,Tamil Nadu,SC,530,73.61,113621,1089,1205,Yes,140
2020,NEET908941,Candidate_4564,Delhi,SC,350,48.61,143897,3818,395,Yes,127
2019,NEET935080,Candidate_2429,Tamil Nadu,SC,270,37.5,26639,1282,7258,Yes,125
2020,NEET679191,Candidate_6135,Maharashtra,General,429,59.58,31459,2043,178,Yes,143
2021,NEET646569,Candidate_2756,Maharashtra,SC,342,47.5,101818,2293,2195,Yes,119
2016,NEET323601,Candidate_6996,Maharashtra,EWS,587,81.53,53579,2270,5165,Yes,138
2017,NEET983062,Candidate_2515,Delhi,General,492,68.33,100128,4003,732,Yes,138
2024,NEET509975,Candidate_6461,Delhi,General,661,91.81,61756,1775,1453,Yes,141
2023,NEET241122,Candidate_1688,Delhi,General,121,16.81,34206,1244,5359,No,144
2020,NEET120667,Candidate_8262,Tamil Nadu,EWS,120,16.67,23928,887,6900,No,143
2019,NEET864397,Candidate_4296,Delhi,OBC,476,66.11,89776,3232,5088,Yes,147
2024,NEET992205,Candidate_4104,Maharashtra,ST,527,73.19,62188,2947,9578,Yes,125
2021,NEET868425,Candidate_2655,Tamil Nadu,SC,330,45.83,1605,4452,3432,Yes,138
2016,NEET140516,Candidate_7241,Maharashtra,General,445,61.81,22902,1375,8027,Yes,138
2021,NEET941215,Candidate_7281,West Bengal,General,677,94.03,129006,4656,8729,Yes,148
2019,NEET215314,Candidate_2475,Uttar Pradesh,OBC,581,80.69,143994,4418,9198,Yes,144
2021,NEET813031,Candidate_6621,Delhi,SC,674,93.61,136271,3897,4685,Yes,119
2021,NEET532791,Candidate_3643,Karnataka,SC,262,36.39,67070,623,3092,Yes,112
2021,NEET920638,Candidate_8979,Karnataka,ST,116,16.11,124984,3652,8789,No,108
2016,NEET606973,Candidate_5113,Maharashtra,EWS,469,65.14,49163,3964,6106,Yes,148
2016,NEET359942,Candidate_5136,West Bengal,General,307,42.64,31452,362,8672,Yes,150
2019,NEET226883,Candidate_6208,Karnataka,ST,555,77.08,94621,3017,9614,Yes,130
2019,NEET596277,Candidate_3288,Tamil Nadu,ST,286,39.72,166850,2792,4663,Yes,130
2019,NEET544467,Candidate_9837,Karnataka,EWS,215,29.86,75753,3718,7899,Yes,146
2024,NEET890655,Candidate_1901,Tamil Nadu,ST,123,17.08,185597,2262,4876,No,102
2017,NEET443279,Candidate_1064,Tamil Nadu,OBC,104,14.44,43228,3007,9807,No,144
2022,NEET273606,Candidate_2436,West Bengal,ST,126,17.5,2328,893,7545,No,120
2023,NEET207093,Candidate_7163,West Bengal,General,123,17.08,42141,3079,9875,No,140
2016,NEET813938,Candidate_8895,Delhi,OBC,360,50.0,52316,4011,6916,Yes,141
2018,NEET680819,Candidate_9069,West Bengal,EWS,369,51.25,27262,2771,9651,Yes,142
2023,NEET246030,Candidate_8462,Uttar Pradesh,SC,440,61.11,53234,4908,1211,Yes,118
2024,NEET118981,Candidate_3861,Maharashtra,ST,293,40.69,166305,1754,9519,Yes,125
2020,NEET910044,Candidate_6066,West Bengal,ST,602,83.61,75369,450,7215,Yes,139
2015,NEET279444,Candidate_3549,Maharashtra,SC,433,60.14,97016,1205,3790,Yes,135
2016,NEET195593,Candidate_5901,Uttar Pradesh,General,128,17.78,105024,2681,7148,No,140
2024,NEET509813,Candidate_1819,Tamil Nadu,OBC,203,28.19,73807,571,1576,Yes,149
2017,NEET512932,Candidate_7387,Maharashtra,EWS,484,67.22,3970,490,8941,Yes,146
2016,NEET439916,Candidate_4420,Delhi,OBC,602,83.61,62449,2803,8271,Yes,147
2020,NEET992274,Candidate_9204,Delhi,OBC,177,24.58,123661,3575,8046,Yes,142
2023,NEET360282,Candidate_2350,Tamil Nadu,SC,202,28.06,58232,241,9369,Yes,106
2023,NEET220924,Candidate_4241,Uttar Pradesh,EWS,328,45.56,191952,2995,6592,Yes,139
2023,NEET119317,Candidate_2811,Uttar Pradesh,OBC,136,18.89,20683,3328,106,No,143
2016,NEET791992,Candidate_6135,Delhi,General,335,46.53,120914,4713,123,Yes,139
2017,NEET414815,Candidate_9432,West Bengal,EWS,175,24.31,19173,469,4505,Yes,147
2024,NEET245564,Candidate_5590,Delhi,EWS,624,86.67,126460,966,8844,Yes,150
2018,NEET480459,Candidate_5395,West Bengal,SC,524,72.78,192130,4692,6064,Yes,111
2015,NEET761580,Candidate_6588,Maharashtra,SC,277,38.47,184444,417,6801,Yes,136
2021,NEET559629,Candidate_9725,Delhi,OBC,444,61.67,86721,1147,1193,Yes,150
2015,NEET377623,Candidate_1065,West Bengal,EWS,527,73.19,4320,1458,1648,Yes,138
2021,NEET462657,Candidate_5135,Karnataka,General,355,49.31,165480,404,4479,Yes,143
2016,NEET412387,Candidate_4268,Maharashtra,ST,275,38.19,61308,31,6953,Yes,125
2023,NEET545833,Candidate_7194,Tamil Nadu,SC,600,83.33,12798,2841,5828,Yes,140
2020,NEET481127,Candidate_7767,Delhi,General,144,20.0,126459,1920,2262,Yes,138
2023,NEET122612,Candidate_7079,Uttar Pradesh,EWS,152,21.11,75520,2707,2663,Yes,148
2024,NEET463736,Candidate_6747,Tamil Nadu,OBC,644,89.44,70780,4416,8231,Yes,146
2021,NEET623498,Candidate_8442,Tamil Nadu,SC,284,39.44,53561,1400,7894,Yes,117
2015,NEET140090,Candidate_9095,West Bengal,EWS,294,40.83,196999,1584,1717,Yes,142
2018,NEET943021,Candidate_5468,Karnataka,General,500,69.44,114968,1797,2548,Yes,141
2020,NEET213016,Candidate_1648,Delhi,ST,566,78.61,75314,1980,2355,Yes,115
2018,NEET337813,Candidate_2649,Uttar Pradesh,OBC,439,60.97,2121,3176,9603,Yes,149
2017,NEET124706,Candidate_3199,Delhi,General,439,60.97,195308,2153,5458,Yes,146
2024,NEET264218,Candidate_2933,Delhi,ST,141,19.58,16999,2194,9009,Yes,116
2020,NEET705545,Candidate_1694,Uttar Pradesh,SC,429,59.58,156966,3516,6780,Yes,127
2019,NEET467111,Candidate_6411,Uttar Pradesh,SC,561,77.92,77118,124,8103,Yes,101
2020,NEET761178,Candidate_6964,West Bengal,OBC,378,52.5,44649,184,6286,Yes,138
2017,NEET518787,Candidate_6607,Karnataka,EWS,423,58.75,114863,208,3528,Yes,139
2022,NEET456500,Candidate_8362,Maharashtra,General,423,58.75,106032,2172,8295,Yes,146
2017,NEET580358,Candidate_2145,Delhi,General,418,58.06,48196,842,1531,Yes,142
2016,NEET100527,Candidate_4643,Uttar Pradesh,SC,526,73.06,15654,1810,3061,Yes,104
2021,NEET321666,Candidate_1926,Uttar Pradesh,SC,685,95.14,17693,3438,1192,Yes,133
2019,NEET877314,Candidate_9161,Uttar Pradesh,EWS,327,45.42,157007,4634,8478,Yes,144
2018,NEET219599,Candidate_4441,Maharashtra,EWS,573,79.58,166219,4352,7874,Yes,144
2023,NEET710003,Candidate_7192,Maharashtra,OBC,429,59.58,1218,3647,1770,Yes,148
2018,NEET281338,Candidate_4172,Karnataka,SC,113,15.69,81420,3407,9885,No,121
2024,NEET204839,Candidate_5102,West Bengal,ST,518,71.94,163093,1339,1717,Yes,130
2015,NEET558599,Candidate_8563,Maharashtra,General,671,93.19,122801,2997,7440,Yes,148
2019,NEET342500,Candidate_8555,Delhi,ST,552,76.67,135922,3879,2548,Yes,130
2019,NEET543646,Candidate_9447,Uttar Pradesh,General,286,39.72,196313,43,4467,Yes,147
2016,NEET515732,Candidate_9570,West Bengal,EWS,482,66.94,174333,3912,2201,Yes,149
2020,NEET901584,Candidate_7584,Uttar Pradesh,General,494,68.61,163851,4845,6679,Yes,140
2021,NEET628552,Candidate_3455,Delhi,ST,626,86.94,141267,1003,1415,Yes,135
2020,NEET206921,Candidate_3558,West Bengal,General,365,50.69,57590,3441,3059,Yes,139
2018,NEET139571,Candidate_8730,Maharashtra,General,243,33.75,6574,4607,1869,Yes,138
2020,NEET717393,Candidate_2751,Maharashtra,EWS,173,24.03,103967,3542,3628,Yes,144
2023,NEET159673,Candidate_5289,Maharashtra,SC,494,68.61,87968,2241,4337,Yes,100
2018,NEET919149,Candidate_7241,Maharashtra,SC,580,80.56,45883,3632,8042,Yes,118
2019,NEET576471,Candidate_8918,Maharashtra,OBC,374,51.94,135305,1553,7547,Yes,144
2021,NEET216570,Candidate_1218,Uttar Pradesh,EWS,471,65.42,90306,1628,9830,Yes,140
2017,NEET409913,Candidate_4418,Tamil Nadu,General,298,41.39,133918,2575,9447,Yes,147
2016,NEET220532,Candidate_6189,Tamil Nadu,ST,298,41.39,158065,104,8587,Yes,126
2018,NEET396437,Candidate_2830,West Bengal,General,559,77.64,12264,4872,1246,Yes,149
2017,NEET437104,Candidate_1763,Uttar Pradesh,OBC,336,46.67,75641,4902,1889,Yes,147
2024,NEET161481,Candidate_9238,Karnataka,ST,222,30.83,183499,3841,3793,Yes,136
2022,NEET592623,Candidate_5843,Maharashtra,OBC,482,66.94,26813,1425,2845,Yes,149
2017,NEET490439,Candidate_2802,West Bengal,EWS,530,73.61,76457,5,1731,Yes,139
2016,NEET545221,Candidate_7152,Maharashtra,EWS,114,15.83,187035,3274,7147,No,139
2022,NEET456519,Candidate_2570,Tamil Nadu,OBC,390,54.17,133402,2697,6444,Yes,145
2023,NEET579122,Candidate_8248,Delhi,EWS,126,17.5,28938,616,9882,No,140
2015,NEET208034,Candidate_9256,Maharashtra,SC,278,38.61,41904,3685,7760,Yes,126
2018,NEET670143,Candidate_5535,Tamil Nadu,OBC,501,69.58,168260,211,9000,Yes,138
2023,NEET341224,Candidate_3872,Karnataka,OBC,170,23.61,58489,860,3686,Yes,146
2023,NEET955999,Candidate_7162,Delhi,OBC,270,37.5,8901,4987,6468,Yes,143
2017,NEET224911,Candidate_3183,Karnataka,General,542,75.28,157425,1454,1742,Yes,149
2021,NEET185058,Candidate_9775,Tamil Nadu,ST,188,26.11,16417,227,2186,Yes,128
2020,NEET419530,Candidate_2350,Tamil Nadu,ST,530,73.61,125705,1554,1412,Yes,125
2024,NEET549491,Candidate_3185,Karnataka,EWS,218,30.28,122042,3532,7457,Yes,140
2024,NEET861524,Candidate_7843,Tamil Nadu,EWS,126,17.5,196113,3192,6233,No,143
2017,NEET997125,Candidate_9624,Uttar Pradesh,General,589,81.81,79436,2548,5067,Yes,144
2018,NEET958275,Candidate_7932,Tamil Nadu,SC,281,39.03,148605,1027,7429,Yes,139
2017,NEET205824,Candidate_4192,West Bengal,EWS,608,84.44,186608,478,1692,Yes,145
2015,NEET231145,Candidate_9901,West Bengal,OBC,197,27.36,69594,3732,2230,Yes,142
2022,NEET420406,Candidate_2796,Uttar Pradesh,ST,118,16.39,11583,500,5253,No,124
2016,NEET298845,Candidate_4062,Maharashtra,General,661,91.81,134547,1489,755,Yes,144
2020,NEET973207,Candidate_2504,Delhi,SC,173,24.03,168662,4000,6101,Yes,116
2021,NEET121532,Candidate_8942,Delhi,General,455,63.19,89126,680,339,Yes,138
2015,NEET275545,Candidate_6289,Karnataka,General,553,76.81,190013,593,1701,Yes,141
2017,NEET263302,Candidate_4340,Uttar Pradesh,EWS,207,28.75,67325,837,1932,Yes,140
2023,NEET167828,Candidate_9167,Uttar Pradesh,ST,354,49.17,59559,3031,6887,Yes,101
2015,NEET370223,Candidate_3006,Delhi,EWS,469,65.14,93596,2328,1974,Yes,141
2024,NEET222226,Candidate_5740,West Bengal,EWS,106,14.72,65372,3025,4,No,141
2021,NEET110548,Candidate_6651,Maharashtra,OBC,417,57.92,151653,1984,455,Yes,142
2021,NEET559218,Candidate_5355,Maharashtra,SC,217,30.14,11410,2379,4723,Yes,140
2023,NEET804603,Candidate_6334,Uttar Pradesh,General,404,56.11,122492,2580,5254,Yes,147
2019,NEET773534,Candidate_7939,Uttar Pradesh,EWS,506,70.28,182624,4520,3960,Yes,144
2016,NEET912165,Candidate_4770,Karnataka,EWS,569,79.03,40241,713,8693,Yes,146
2016,NEET807587,Candidate_9217,Maharashtra,General,562,78.06,156626,3219,9539,Yes,143
2021,NEET980386,Candidate_3345,Delhi,OBC,191,26.53,61035,2689,2584,Yes,144
2017,NEET192608,Candidate_1548,West Bengal,SC,494,68.61,73199,3905,8782,Yes,140
2018,NEET956428,Candidate_8798,Karnataka,General,183,25.42,59160,2636,2402,Yes,149
2020,NEET797333,Candidate_8664,West Bengal,SC,219,30.42,56824,4684,8730,Yes,109
2020,NEET378911,Candidate_2433,Karnataka,General,371,51.53,125414,791,2316,Yes,149
2020,NEET686929,Candidate_4527,Tamil Nadu,General,714,99.17,157853,2449,1899,Yes,140
2016,NEET971848,Candidate_3454,Delhi,General,541,75.14,123528,2157,9469,Yes,140
2017,NEET766551,Candidate_7764,Maharashtra,ST,686,95.28,67359,4501,4181,Yes,118
2019,NEET192891,Candidate_4067,Uttar Pradesh,General,628,87.22,129464,4331,909,Yes,139
2019,NEET535314,Candidate_3281,Delhi,General,188,26.11,135714,4355,4861,Yes,146
2021,NEET379085,Candidate_9228,Delhi,EWS,251,34.86,129313,1479,122,Yes,142
2020,NEET712684,Candidate_2158,Uttar Pradesh,ST,366,50.83,142384,1749,7321,Yes,117
2023,NEET154516,Candidate_9260,Maharashtra,ST,133,18.47,88618,4119,4808,No,109
2019,NEET169520,Candidate_2946,Karnataka,EWS,502,69.72,25643,4977,1307,Yes,147
2019,NEET836113,Candidate_6389,Maharashtra,OBC,121,16.81,67808,366,8319,No,139
2017,NEET311714,Candidate_5995,West Bengal,General,439,60.97,9747,4826,8188,Yes,146
2018,NEET175152,Candidate_6741,Tamil Nadu,General,128,17.78,116169,2631,3410,No,146
2018,NEET804537,Candidate_5241,West Bengal,General,345,47.92,186133,3838,2501,Yes,146
2023,NEET225585,Candidate_1875,Tamil Nadu,ST,214,29.72,16166,3360,1128,Yes,105
2019,NEET995728,Candidate_5350,Delhi,OBC,592,82.22,123878,1570,6831,Yes,148
2022,NEET640393,Candidate_2158,Tamil Nadu,ST,631,87.64,190584,2664,6519,Yes,105
2024,NEET881424,Candidate_1615,Maharashtra,OBC,340,47.22,132264,2291,6987,Yes,146
2018,NEET862352,Candidate_5405,Uttar Pradesh,SC,336,46.67,34434,2422,8318,Yes,127
2015,NEET885140,Candidate_9246,West Bengal,General,321,44.58,63670,16,9505,Yes,148
2024,NEET756372,Candidate_6262,Delhi,EWS,469,65.14,74596,4999,9417,Yes,146
2022,NEET622303,Candidate_5258,Maharashtra,General,153,21.25,111360,2307,9369,Yes,149
2022,NEET939017,Candidate_5523,Karnataka,ST,407,56.53,182981,4280,3333,Yes,102
2021,NEET936181,Candidate_3591,West Bengal,ST,387,53.75,190009,1029,336,Yes,106
2024,NEET100483,Candidate_6178,Maharashtra,ST,153,21.25,150078,2737,6567,Yes,105
2020,NEET925679,Candidate_4151,Uttar Pradesh,SC,125,17.36,29712,4410,8289,No,130
2020,NEET346664,Candidate_6457,Tamil Nadu,ST,655,90.97,172509,789,7225,Yes,120
2022,NEET627751,Candidate_2440,Karnataka,EWS,486,67.5,24182,2093,9606,Yes,145
2021,NEET879512,Candidate_3834,Maharashtra,EWS,197,27.36,80106,4428,4511,Yes,138
2018,NEET133404,Candidate_3207,West Bengal,OBC,263,36.53,60495,954,7686,Yes,145
2021,NEET689263,Candidate_1141,Delhi,OBC,214,29.72,114850,3593,1381,Yes,146
2020,NEET817476,Candidate_6022,Maharashtra,General,190,26.39,108925,540,330,Yes,142
2024,NEET529109,Candidate_9515,West Bengal,SC,239,33.19,28875,4192,5005,Yes,106
2023,NEET283776,Candidate_4900,Maharashtra,General,269,37.36,41454,1860,4724,Yes,147
2021,NEET713701,Candidate_6232,Tamil Nadu,OBC,576,80.0,24092,1610,4186,Yes,139
2018,NEET690869,Candidate_9674,Uttar Pradesh,SC,197,27.36,132809,1547,8005,Yes,136
2020,NEET581447,Candidate_8994,Tamil Nadu,General,542,75.28,98926,3290,9590,Yes,141
2018,NEET814152,Candidate_2184,Delhi,General,581,80.69,28310,3031,4884,Yes,141
2021,NEET815723,Candidate_4747,Karnataka,OBC,674,93.61,169159,1657,2148,Yes,144
2022,NEET364310,Candidate_4135,Tamil Nadu,SC,424,58.89,107167,1346,3623,Yes,113
2024,NEET259280,Candidate_8083,Tamil Nadu,OBC,352,48.89,58834,882,7876,Yes,138
2018,NEET137677,Candidate_5450,West Bengal,SC,360,50.0,55485,269,6364,Yes,122
2022,NEET811163,Candidate_4817,Maharashtra,ST,179,24.86,91688,2816,1787,Yes,124
2023,NEET215647,Candidate_6126,Maharashtra,General,106,14.72,80770,217,9142,No,149
2022,NEET735716,Candidate_7141,Karnataka,General,310,43.06,57469,1226,5763,Yes,140
2024,NEET912776,Candidate_5341,Karnataka,OBC,460,63.89,116236,3789,2390,Yes,139
2021,NEET908478,Candidate_4878,West Bengal,ST,365,50.69,121523,24,2674,Yes,129
2021,NEET121181,Candidate_6111,Karnataka,ST,714,99.17,56877,3492,114,Yes,106
2015,NEET103407,Candidate_9400,Uttar Pradesh,EWS,457,63.47,122933,360,1495,Yes,141
2021,NEET411579,Candidate_5206,Karnataka,General,257,35.69,168615,41,5715,Yes,143
2021,NEET554240,Candidate_9522,West Bengal,OBC,558,77.5,158034,3766,294,Yes,139
2018,NEET867311,Candidate_4635,Delhi,General,468,65.0,120893,3704,8942,Yes,141
2017,NEET765696,Candidate_1359,Tamil Nadu,SC,667,92.64,104195,4482,6386,Yes,117
2018,NEET288025,Candidate_3556,Tamil Nadu,ST,530,73.61,6083,1057,8078,Yes,131
2015,NEET514561,Candidate_6106,Uttar Pradesh,General,369,51.25,78934,646,7768,Yes,141
2022,NEET198185,Candidate_2890,Uttar Pradesh,SC,715,99.31,22645,1954,2261,Yes,100
2016,NEET254930,Candidate_8332,Tamil Nadu,ST,285,39.58,120662,3365,5843,Yes,133
2020,NEET888339,Candidate_4654,Maharashtra,EWS,245,34.03,187525,848,1098,Yes,138
2019,NEET723397,Candidate_4491,West Bengal,EWS,610,84.72,141111,4347,5517,Yes,140
2016,NEET835496,Candidate_2571,West Bengal,OBC,570,79.17,192400,4336,4970,Yes,150
2015,NEET435223,Candidate_2082,Uttar Pradesh,EWS,570,79.17,86057,42,9096,Yes,145
2023,NEET406094,Candidate_9405,Delhi,General,407,56.53,79883,512,950,Yes,138
2024,NEET598212,Candidate_2086,Maharashtra,ST,249,34.58,59568,3576,4802,Yes,129
2015,NEET413728,Candidate_4818,Maharashtra,SC,662,91.94,165154,1081,6607,Yes,129
2019,NEET183932,Candidate_1499,Tamil Nadu,SC,359,49.86,97042,3898,1920,Yes,126
2016,NEET134806,Candidate_2242,Uttar Pradesh,OBC,431,59.86,133828,1840,467,Yes,147
2021,NEET173719,Candidate_3562,Maharashtra,SC,471,65.42,44616,2198,8317,Yes,118
2018,NEET663686,Candidate_9770,West Bengal,EWS,508,70.56,18978,1972,5840,Yes,139
2020,NEET973734,Candidate_7441,Karnataka,SC,264,36.67,20533,4343,3883,Yes,107
2022,NEET498479,Candidate_1753,Karnataka,EWS,599,83.19,171980,17,6988,Yes,143
2021,NEET364362,Candidate_8066,Maharashtra,EWS,712,98.89,199000,3190,8721,Yes,150
2023,NEET440446,Candidate_9138,Uttar Pradesh,General,378,52.5,173169,3741,9649,Yes,144
2024,NEET960412,Candidate_1239,Karnataka,ST,203,28.19,97699,2808,8312,Yes,123
2018,NEET644967,Candidate_7400,Delhi,SC,163,22.64,86881,3052,9872,Yes,140
2024,NEET536946,Candidate_7649,Delhi,EWS,223,30.97,195542,1905,9203,Yes,143
2023,NEET163918,Candidate_1085,Maharashtra,ST,104,14.44,13370,1983,6732,No,128
2021,NEET795478,Candidate_9339,Tamil Nadu,ST,394,54.72,93230,1800,4885,Yes,117
2020,NEET739891,Candidate_7188,Maharashtra,ST,517,71.81,81092,1915,3410,Yes,109
2021,NEET322920,Candidate_2144,Maharashtra,General,606,84.17,178945,752,2621,Yes,145
2022,NEET545546,Candidate_4684,Karnataka,EWS,189,26.25,154290,479,431,Yes,143
2015,NEET348510,Candidate_1040,Uttar Pradesh,OBC,431,59.86,117194,1501,8230,Yes,143
2017,NEET372530,Candidate_4449,Delhi,SC,498,69.17,110706,1943,7944,Yes,131
2017,NEET553315,Candidate_1877,Maharashtra,OBC,287,39.86,171991,4431,3464,Yes,150
2016,NEET921552,Candidate_7563,Uttar Pradesh,OBC,256,35.56,121205,2899,2448,Yes,143
2019,NEET534071,Candidate_8030,Maharashtra,General,672,93.33,131261,4103,7391,Yes,142
2019,NEET654938,Candidate_3675,West Bengal,EWS,182,25.28,70556,262,2595,Yes,138
2023,NEET737341,Candidate_5260,Karnataka,OBC,666,92.5,40083,1158,8396,Yes,142
2020,NEET249459,Candidate_4064,Tamil Nadu,ST,456,63.33,104212,4713,7229,Yes,132
2017,NEET488312,Candidate_5848,Delhi,OBC,337,46.81,117609,3953,7126,Yes,141
2023,NEET756761,Candidate_6296,Tamil Nadu,SC,208,28.89,82813,4969,2435,Yes,115
2021,NEET693068,Candidate_2291,Tamil Nadu,General,564,78.33,135158,3367,2196,Yes,144
2016,NEET788540,Candidate_9546,Tamil Nadu,SC,175,24.31,18102,4588,9348,Yes,102
2016,NEET118152,Candidate_5565,Karnataka,SC,466,64.72,131167,1550,6326,Yes,140
2024,NEET756414,Candidate_1060,Tamil Nadu,EWS,717,99.58,22625,3386,5608,Yes,142
2022,NEET991476,Candidate_7391,Uttar Pradesh,ST,648,90.0,41293,3335,7768,Yes,123
2024,NEET356315,Candidate_5414,Delhi,SC,582,80.83,88959,1494,111,Yes,128
2017,NEET493205,Candidate_4935,Delhi,EWS,627,87.08,132952,1522,6631,Yes,147
2018,NEET296859,Candidate_5694,West Bengal,EWS,520,72.22,46621,4997,1741,Yes,140
2020,NEET743233,Candidate_4879,Delhi,SC,463,64.31,53026,3155,9772,Yes,100
2023,NEET572534,Candidate_7235,Delhi,OBC,431,59.86,124989,2475,9502,Yes,139
2024,NEET985072,Candidate_8200,West Bengal,ST,543,75.42,59379,1957,7108,Yes,108
2023,NEET998706,Candidate_3190,West Bengal,EWS,712,98.89,97087,3994,986,Yes,150
2018,NEET315323,Candidate_4350,Uttar Pradesh,SC,269,37.36,60714,2193,9302,Yes,121
2018,NEET640775,Candidate_6182,Karnataka,ST,589,81.81,44470,1902,8288,Yes,122
2015,NEET480930,Candidate_2011,Karnataka,EWS,529,73.47,99333,2196,2140,Yes,143
2022,NEET515266,Candidate_3009,Maharashtra,OBC,529,73.47,46468,107,1633,Yes,138
2020,NEET981357,Candidate_5043,West Bengal,SC,715,99.31,148297,4384,1055,Yes,115
2023,NEET121253,Candidate_1586,Uttar Pradesh,OBC,579,80.42,70828,135,3805,Yes,145
2015,NEET890888,Candidate_2017,Karnataka,EWS,606,84.17,15642,4744,9553,Yes,143
2019,NEET479058,Candidate_6162,Tamil Nadu,OBC,599,83.19,181975,4621,5587,Yes,139
2024,NEET419787,Candidate_4448,Maharashtra,SC,613,85.14,87137,71,2804,Yes,122
2016,NEET725330,Candidate_5857,Delhi,ST,515,71.53,39514,2112,6338,Yes,135
2018,NEET111017,Candidate_7821,Maharashtra,SC,443,61.53,149678,1343,9544,Yes,128
2017,NEET476401,Candidate_4634,Delhi,General,623,86.53,12558,2173,5205,Yes,144
2020,NEET701932,Candidate_4018,Tamil Nadu,EWS,139,19.31,123608,1438,4379,Yes,147
2022,NEET399564,Candidate_8370,Delhi,General,345,47.92,133309,3428,8305,Yes,141
2016,NEET515781,Candidate_4388,Maharashtra,ST,154,21.39,73588,4091,840,Yes,127
2021,NEET543538,Candidate_5882,Delhi,EWS,523,72.64,31913,2487,7223,Yes,145
2021,NEET457825,Candidate_7773,Delhi,OBC,574,79.72,185681,3010,8392,Yes,146
2023,NEET812275,Candidate_8200,Maharashtra,EWS,641,89.03,21363,178,8430,Yes,139
2019,NEET783245,Candidate_5553,Uttar Pradesh,General,415,57.64,19685,4368,9967,Yes,146
2018,NEET247454,Candidate_6601,Tamil Nadu,OBC,455,63.19,155182,1275,2600,Yes,144
2022,NEET559988,Candidate_5326,Maharashtra,SC,666,92.5,93634,3006,935,Yes,104
2018,NEET594553,Candidate_2742,Delhi,SC,260,36.11,181053,4778,7865,Yes,109
2022,NEET702865,Candidate_1556,Delhi,ST,164,22.78,12897,2383,3837,Yes,119
2020,NEET907011,Candidate_3708,Delhi,EWS,502,69.72,122611,3391,7728,Yes,140
2019,NEET648405,Candidate_6469,West Bengal,EWS,383,53.19,190894,4110,3818,Yes,139
2019,NEET190227,Candidate_2481,Karnataka,OBC,607,84.31,175710,3125,7857,Yes,139
2016,NEET224365,Candidate_8299,Karnataka,EWS,335,46.53,46141,3760,2310,Yes,140
2023,NEET459853,Candidate_9393,Uttar Pradesh,OBC,421,58.47,135109,697,6085,Yes,138
2020,NEET917128,Candidate_3915,Maharashtra,OBC,482,66.94,116637,2093,6857,Yes,142
2016,NEET632486,Candidate_3356,Delhi,OBC,189,26.25,11154,3643,4765,Yes,148
2021,NEET253768,Candidate_4391,West Bengal,General,619,85.97,190868,4342,5160,Yes,145
2016,NEET518237,Candidate_9509,West Bengal,SC,646,89.72,49336,4787,8715,Yes,136
2022,NEET349277,Candidate_2252,Maharashtra,General,233,32.36,6683,4764,9089,Yes,148
2016,NEET568985,Candidate_7962,Karnataka,General,700,97.22,156364,123,3251,Yes,144
2019,NEET910031,Candidate_7465,Delhi,SC,217,30.14,78946,1228,4806,Yes,110
2022,NEET878412,Candidate_5178,Karnataka,OBC,323,44.86,171340,1560,3615,Yes,146
2022,NEET186381,Candidate_8862,West Bengal,OBC,592,82.22,186136,4138,1797,Yes,150
2021,NEET300935,Candidate_9078,Maharashtra,SC,102,14.17,177137,4831,4616,No,139
